,fecha real,timestamp,value,variable
126,2017-06-16 01:24:51+00:00,1497594291000,25.74,Sensor20
127,2017-06-16 01:22:36+00:00,1497594156000,1806.7,Sensor20
128,2017-06-16 01:17:48+00:00,1497593868000,98.87,Sensor20
129,2017-06-16 00:38:04+00:00,1497591484000,66.32,Sensor20
130,2017-06-16 00:35:36+00:00,1497591336000,48.31,Sensor20
131,2017-06-16 00:35:21+00:00,1497591321000,2287.66,Sensor20
132,2017-06-16 00:32:45+00:00,1497591165000,2588.48,Sensor20
133,2017-06-16 00:29:02+00:00,1497590942000,2555.7,Sensor20
134,2017-06-15 23:47:37+00:00,1497588457000,1825.62,Sensor20
135,2017-06-15 23:47:24+00:00,1497588444000,1797.54,Sensor20
136,2017-06-15 23:45:27+00:00,1497588327000,2214.1,Sensor20
137,2017-06-15 23:44:25+00:00,1497588265000,1714.12,Sensor20
138,2017-06-15 23:38:59+00:00,1497587939000,1827.4,Sensor20
139,2017-06-15 23:38:53+00:00,1497587933000,1827.4,Sensor20
140,2017-06-15 23:35:34+00:00,1497587734000,2298.26,Sensor20
141,2017-06-15 23:32:37+00:00,1497587557000,2329.01,Sensor20
142,2017-06-15 23:32:01+00:00,1497587521000,2172.28,Sensor20
143,2017-06-15 23:17:35+00:00,1497586655000,1948.84,Sensor20
144,2017-06-15 22:58:51+00:00,1497585531000,2353.14,Sensor20
145,2017-06-15 22:37:25+00:00,1497584245000,87.89,Sensor20
146,2017-06-15 22:30:15+00:00,1497583815000,54.83,Sensor20
147,2017-06-15 22:30:05+00:00,1497583805000,55.56,Sensor20
148,2017-06-15 22:29:35+00:00,1497583775000,2315.87,Sensor20
149,2017-06-15 22:27:15+00:00,1497583635000,34.27,Sensor20
150,2017-06-15 22:27:11+00:00,1497583631000,34.27,Sensor20
151,2017-06-15 22:26:29+00:00,1497583589000,2432.0,Sensor20
152,2017-06-15 22:19:53+00:00,1497583193000,2196.56,Sensor20
153,2017-06-15 22:13:38+00:00,1497582818000,2107.6,Sensor20
154,2017-06-15 22:10:42+00:00,1497582642000,2156.81,Sensor20
155,2017-06-15 22:09:44+00:00,1497582584000,2089.59,Sensor20
156,2017-06-15 22:05:05+00:00,1497582305000,2102.22,Sensor20
157,2017-06-15 21:59:12+00:00,1497581952000,2076.19,Sensor20
158,2017-06-15 21:58:02+00:00,1497581882000,2049.47,Sensor20
159,2017-06-15 21:54:02+00:00,1497581642000,2309.46,Sensor20
160,2017-06-15 21:53:57+00:00,1497581637000,2309.46,Sensor20
161,2017-06-15 21:49:32+00:00,1497581372000,1916.34,Sensor20
162,2017-06-15 21:49:20+00:00,1497581360000,1863.53,Sensor20
163,2017-06-15 21:43:13+00:00,1497580993000,2339.12,Sensor20
164,2017-06-15 21:39:17+00:00,1497580757000,2362.41,Sensor20
165,2017-06-15 21:30:23+00:00,1497580223000,2446.65,Sensor20
166,2017-06-15 21:28:52+00:00,1497580132000,2400.68,Sensor20
167,2017-06-15 21:27:09+00:00,1497580029000,1951.98,Sensor20
168,2017-06-15 21:26:13+00:00,1497579973000,48.73,Sensor20
169,2017-06-15 21:26:00+00:00,1497579960000,87.89,Sensor20
170,2017-06-15 21:24:25+00:00,1497579865000,51.4,Sensor20
171,2017-06-15 21:24:09+00:00,1497579849000,27.42,Sensor20
172,2017-06-15 21:23:52+00:00,1497579832000,128.13,Sensor20
173,2017-06-15 21:23:29+00:00,1497579809000,81.1,Sensor20
174,2017-06-15 21:23:03+00:00,1497579783000,74.85,Sensor20
175,2017-06-15 21:22:59+00:00,1497579779000,54.48,Sensor20
176,2017-06-15 21:21:30+00:00,1497579690000,27.34,Sensor20
177,2017-06-15 21:17:21+00:00,1497579441000,88.83,Sensor20
178,2017-06-15 21:17:12+00:00,1497579432000,62.24,Sensor20
179,2017-06-15 21:16:40+00:00,1497579400000,34.1,Sensor20
180,2017-06-15 21:11:32+00:00,1497579092000,25.19,Sensor20
181,2017-06-15 21:10:21+00:00,1497579021000,27.31,Sensor20
182,2017-06-15 21:09:57+00:00,1497578997000,40.69,Sensor20
183,2017-06-15 21:05:49+00:00,1497578749000,54.74,Sensor20
184,2017-06-15 20:58:18+00:00,1497578298000,168.9,Sensor20
185,2017-06-15 20:47:59+00:00,1497577679000,98.54,Sensor20
186,2017-06-15 20:42:31+00:00,1497577351000,52.29,Sensor20
187,2017-06-15 20:41:47+00:00,1497577307000,26.18,Sensor20
188,2017-06-15 20:40:23+00:00,1497577223000,2381.1,Sensor20
189,2017-06-15 20:35:30+00:00,1497576930000,30.25,Sensor20
190,2017-06-15 20:35:19+00:00,1497576919000,30.25,Sensor20
191,2017-06-15 20:33:32+00:00,1497576812000,34.03,Sensor20
192,2017-06-15 20:01:46+00:00,1497574906000,30.8,Sensor20
193,2017-06-15 19:59:31+00:00,1497574771000,127.51,Sensor20
194,2017-06-15 19:58:26+00:00,1497574706000,66.73,Sensor20
195,2017-06-15 19:57:47+00:00,1497574667000,110.42,Sensor20
196,2017-06-15 19:47:08+00:00,1497574028000,117.14,Sensor20
197,2017-06-15 19:45:11+00:00,1497573911000,60.99,Sensor20
198,2017-06-15 19:45:02+00:00,1497573902000,60.99,Sensor20
199,2017-06-15 19:44:58+00:00,1497573898000,60.99,Sensor20
200,2017-06-15 19:44:50+00:00,1497573890000,60.99,Sensor20
201,2017-06-15 19:44:46+00:00,1497573886000,60.99,Sensor20
202,2017-06-15 19:44:31+00:00,1497573871000,29.08,Sensor20
203,2017-06-15 19:41:55+00:00,1497573715000,77.97,Sensor20
204,2017-06-15 19:35:36+00:00,1497573336000,93.74,Sensor20
205,2017-06-15 19:34:57+00:00,1497573297000,61.69,Sensor20
206,2017-06-15 19:31:35+00:00,1497573095000,53.64,Sensor20
207,2017-06-15 19:29:30+00:00,1497572970000,136.3,Sensor20
208,2017-06-15 19:29:07+00:00,1497572947000,25.76,Sensor20
209,2017-06-15 19:26:50+00:00,1497572810000,29.03,Sensor20
210,2017-06-15 19:08:52+00:00,1497571732000,41.46,Sensor20
211,2017-06-15 19:01:59+00:00,1497571319000,38.17,Sensor20
212,2017-06-15 19:01:48+00:00,1497571308000,94.93,Sensor20
213,2017-06-15 19:01:40+00:00,1497571300000,94.93,Sensor20
214,2017-06-15 19:01:04+00:00,1497571264000,62.02,Sensor20
215,2017-06-15 19:00:18+00:00,1497571218000,74.21,Sensor20
216,2017-06-15 18:46:57+00:00,1497570417000,2513.52,Sensor20
217,2017-06-15 18:37:29+00:00,1497569849000,1635.24,Sensor20
218,2017-06-15 18:37:23+00:00,1497569843000,69.54,Sensor20
219,2017-06-15 18:24:23+00:00,1497569063000,2003.03,Sensor20
220,2017-06-15 18:23:39+00:00,1497569019000,1842.79,Sensor20
221,2017-06-15 18:23:26+00:00,1497569006000,1842.79,Sensor20
222,2017-06-15 18:22:54+00:00,1497568974000,1780.33,Sensor20
223,2017-06-15 18:17:04+00:00,1497568624000,2220.63,Sensor20
224,2017-06-15 18:16:01+00:00,1497568561000,2120.9,Sensor20
225,2017-06-15 18:15:54+00:00,1497568554000,2120.9,Sensor20
226,2017-06-15 18:15:45+00:00,1497568545000,2120.9,Sensor20
